algorithm_latency_us,round_period_us,window_id,read_lo,read_hi,commit_lo,commit_hi,first_qpu_send_us,last_qpu_send_us,first_buffer0_us,buffer0_ready_us,dependency_arrival_us,queued_us,dispatch_us,cwd_arrival_us,decode_done_us,dd_delivery_us,wdo_delivery_us,frame_commit_us,dependency_block_us,buffer0_ready_to_frame_us,qpu_last_round_to_frame_us
0.028,0.8,11,34,39,34,36,27.2,31.2,28.7,32.7,31.856,32.7,32.7,33.7,33.756,34.256,34.756,34.76,0.0,2.06,3.56
0.028,0.8,12,37,42,37,39,29.6,33.6,31.1,35.1,34.256,35.1,35.1,36.1,36.156,36.656,37.156,37.16,0.0,2.06,3.56
0.028,0.8,13,40,45,40,42,32.0,36.0,33.5,37.5,36.656,37.5,37.5,38.5,38.556,39.056,39.556,39.56,0.0,2.06,3.56
0.028,0.8,14,43,48,43,45,34.4,38.4,35.9,39.9,39.056,39.9,39.9,40.9,40.956,41.456,41.956,41.96,0.0,2.06,3.56
0.028,0.8,15,46,51,46,48,36.8,40.8,38.3,42.3,41.456,42.3,42.3,43.3,43.356,43.856,44.356,44.36,0.0,2.06,3.56
0.028,0.8,16,49,54,49,51,39.2,43.2,40.7,44.7,43.856,44.7,44.7,45.7,45.756,46.256,46.756,46.76,0.0,2.06,3.56
0.028,0.8,17,52,57,52,54,41.6,45.6,43.1,47.1,46.256,47.1,47.1,48.1,48.156,48.656,49.156,49.16,0.0,2.06,3.56
0.028,0.8,18,55,60,55,60,44.0,48.0,45.5,49.5,48.656,49.5,49.5,50.5,50.556,,51.556,51.56,0.0,2.06,3.56
0.028,0.5,0,1,6,1,3,0.5,3.0,2.0,4.5,,4.5,4.5,5.5,5.556,6.056,6.556,6.56,0.0,2.06,3.56
0.028,0.5,1,4,9,4,6,2.0,4.5,3.5,6.0,6.056,6.056,6.056,7.056,7.112,7.612,8.112,8.116,0.056,2.116,3.616
0.028,0.5,2,7,12,7,9,3.5,6.0,5.0,7.5,7.612,7.612,7.612,8.612,8.668,9.168,9.668,9.672,0.112,2.172,3.672
0.028,0.5,3,10,15,10,12,5.0,7.5,6.5,9.0,9.168,9.168,9.168,10.168,10.224,10.724,11.224,11.228,0.168,2.228,3.728
0.028,0.5,4,13,18,13,15,6.5,9.0,8.0,10.5,10.724,10.724,10.724,11.724,11.78,12.28,12.78,12.784,0.224,2.284,3.784
0.028,0.5,5,16,21,16,18,8.0,10.5,9.5,12.0,12.28,12.28,12.28,13.28,13.336,13.836,14.336,14.34,0.28,2.34,3.84
0.028,0.5,6,19,24,19,21,9.5,12.0,11.0,13.5,13.836,13.836,13.836,14.836,14.892,15.392,15.892,15.896,0.336,2.396,3.896
0.028,0.5,7,22,27,22,24,11.0,13.5,12.5,15.0,15.392,15.392,15.392,16.392,16.448,16.948,17.448,17.452,0.392,2.452,3.952
0.028,0.5,8,25,30,25,27,12.5,15.0,14.0,16.5,16.948,16.948,16.948,17.948,18.004,18.504,19.004,19.008,0.448,2.508,4.008
0.028,0.5,9,28,33,28,30,14.0,16.5,15.5,18.0,18.504,18.504,18.504,19.504,19.56,20.06,20.56,20.564,0.504,2.564,4.064
0.028,0.5,10,31,36,31,33,15.5,18.0,17.0,19.5,20.06,20.06,20.06,21.06,21.116,21.616,22.116,22.12,0.56,2.62,4.12
0.028,0.5,11,34,39,34,36,17.0,19.5,18.5,21.0,21.616,21.616,21.616,22.616,22.672,23.172,23.672,23.676,0.616,2.676,4.176
0.028,0.5,12,37,42,37,39,18.5,21.0,20.0,22.5,23.172,23.172,23.172,24.172,24.228,24.728,25.228,25.232,0.672,2.732,4.232
0.028,0.5,13,40,45,40,42,20.0,22.5,21.5,24.0,24.728,24.728,24.728,25.728,25.784,26.284,26.784,26.788,0.728,2.788,4.288
0.028,0.5,14,43,48,43,45,21.5,24.0,23.0,25.5,26.284,26.284,26.284,27.284,27.34,27.84,28.34,28.344,0.784,2.844,4.344
0.028,0.5,15,46,51,46,48,23.0,25.5,24.5,27.0,27.84,27.84,27.84,28.84,28.896,29.396,29.896,29.9,0.84,2.9,4.4
0.028,0.5,16,49,54,49,51,24.5,27.0,26.0,28.5,29.396,29.396,29.396,30.396,30.452,30.952,31.452,31.456,0.896,2.956,4.456
0.028,0.5,17,52,57,52,54,26.0,28.5,27.5,30.0,30.952,30.952,30.952,31.952,32.008,32.508,33.008,33.012,0.952,3.012,4.512
0.028,0.5,18,55,60,55,60,27.5,30.0,29.0,31.5,32.508,32.508,32.508,33.508,33.564,,34.564,34.568,1.008,3.068,4.568
0.028,0.2,0,1,6,1,3,0.2,1.2,1.7,2.7,,2.7,2.7,3.7,3.756,4.256,4.756,4.76,0.0,2.06,3.56
0.028,0.2,1,4,9,4,6,0.8,1.8,2.3,3.3,4.256,4.256,4.256,5.256,5.312,5.812,6.312,6.316,0.956,3.016,4.516
0.028,0.2,2,7,12,7,9,1.4,2.4,2.9,3.9,5.812,5.812,5.812,6.812,6.868,7.368,7.868,7.872,1.912,3.972,5.472
0.028,0.2,3,10,15,10,12,2.0,3.0,3.5,4.5,7.368,7.368,7.368,8.368,8.424,8.924,9.424,9.428,2.868,4.928,6.428
0.028,0.2,4,13,18,13,15,2.6,3.6,4.1,5.1,8.924,8.924,8.924,9.924,9.98,10.48,10.98,10.984,3.824,5.884,7.384
0.028,0.2,5,16,21,16,18,3.2,4.2,4.7,5.7,10.48,10.48,10.48,11.48,11.536,12.036,12.536,12.54,4.78,6.84,8.34
0.028,0.2,6,19,24,19,21,3.8,4.8,5.3,6.3,12.036,12.036,12.036,13.036,13.092,13.592,14.092,14.096,5.736,7.796,9.296
0.028,0.2,7,22,27,22,24,4.4,5.4,5.9,6.9,13.592,13.592,13.592,14.592,14.648,15.148,15.648,15.652,6.692,8.752,10.252
0.028,0.2,8,25,30,25,27,5.0,6.0,6.5,7.5,15.148,15.148,15.148,16.148,16.204,16.704,17.204,17.208,7.648,9.708,11.208
0.028,0.2,9,28,33,28,30,5.6,6.6,7.1,8.1,16.704,16.704,16.704,17.704,17.76,18.26,18.76,18.764,8.604,10.664,12.164
0.028,0.2,10,31,36,31,33,6.2,7.2,7.7,8.7,18.26,18.26,18.26,19.26,19.316,19.816,20.316,20.32,9.56,11.62,13.12
0.028,0.2,11,34,39,34,36,6.8,7.8,8.3,9.3,19.816,19.816,19.816,20.816,20.872,21.372,21.872,21.876,10.516,12.576,14.076
0.028,0.2,12,37,42,37,39,7.4,8.4,8.9,9.9,21.372,21.372,21.372,22.372,22.428,22.928,23.428,23.432,11.472,13.532,15.032
0.028,0.2,13,40,45,40,42,8.0,9.0,9.5,10.5,22.928,22.928,22.928,23.928,23.984,24.484,24.984,24.988,12.428,14.488,15.988
0.028,0.2,14,43,48,43,45,8.6,9.6,10.1,11.1,24.484,24.484,24.484,25.484,25.54,26.04,26.54,26.544,13.384,15.444,16.944
0.028,0.2,15,46,51,46,48,9.2,10.2,10.7,11.7,26.04,26.04,26.04,27.04,27.096,27.596,28.096,28.1,14.34,16.4,17.9
0.028,0.2,16,49,54,49,51,9.8,10.8,11.3,12.3,27.596,27.596,27.596,28.596,28.652,29.152,29.652,29.656,15.296,17.356,18.856
0.028,0.2,17,52,57,52,54,10.4,11.4,11.9,12.9,29.152,29.152,29.152,30.152,30.208,30.708,31.208,31.212,16.252,18.312,19.812
